,group,sender,text,date
1,freifahren_BE,1151434908,Grunewald. They're gone now,2023-09-05 10:11:01+00:00
1,freifahren_BE,206692358,"U1 Richtung Uhlandstraße, gerade Nollendorfplatz ausgestiegen, 3x männlich gelesen.",2023-09-05 10:24:34+00:00
1,freifahren_BE,1064284188,"U6 Reinickendorfer Str. Richtung Alt Mariendorf, gerade eingestiegen",2023-09-05 10:35:57+00:00
1,freifahren_BE,576559611,"S7 nach Ahrensfelde, Bellevue",2023-09-05 10:36:37+00:00
1,freifahren_BE,1076131994,"S5 Birkenstein nach Strausberg Nord
2 weiblich gelesen, 1 jung beige top und shorts, andere älter schwarz rote Haare, weißes shirt",2023-09-05 10:38:28+00:00
1,freifahren_BE,201486456,"S41, Tempelhof->Sudkreuz, man in white T-shirt",2023-09-05 10:41:49+00:00
1,freifahren_BE,576559611,Steigen gleich von Bellevue in die S9 nach Spandau ein. 2 Männer in schwarz mit dicker Umhängetasche,2023-09-05 10:41:56+00:00
1,freifahren_BE,6122476112,"S41, 1 Mann schwarze Kleidung, 1 girl Pinkes top und blonde Haare, gerade Ausstieg Landsberger Allee",2023-09-05 10:44:39+00:00
1,freifahren_BE,1192872372,"S2 nach Lichtenrade, Brandenburger Tor raus",2023-09-05 10:50:37+00:00
1,freifahren_BE,34620148,Jetzt tempelhof - - > hermannstr,2023-09-05 10:53:20+00:00
1,freifahren_BE,5565023324,2 Kontrolleure Ring gerade Frankfurter ausgestiegen,2023-09-05 11:14:36+00:00
1,freifahren_BE,699170297,"3 Stück: zwei weiblich gelesen, rosa und schwarzes tshirt einer männlich, schwarzes t Shirt schwarze cap. S42 gerade an der Greifswalder",2023-09-05 11:25:13+00:00
1,freifahren_BE,1412500319,"s41 gleich bei landsberger allee, 4 kontis in civil",2023-09-05 11:33:57+00:00
1,freifahren_BE,1412500319,jetzt storkower,2023-09-05 11:35:50+00:00
1,freifahren_BE,603907033,"2 Zivilkontrolleure, S-Bahn Tempelhof steigen jetzt in S42",2023-09-05 11:38:36+00:00
1,freifahren_BE,1412500319,frankfurter alle raus und in s42 rein,2023-09-05 11:39:01+00:00
1,freifahren_BE,603907033,"Männlich gelesen, 1 mit Cap, Anderer mit Zopf",2023-09-05 11:39:17+00:00
1,freifahren_BE,189818479,4K Rathaus Steglitz bei der Bushaltestelle x83 und 282,2023-09-05 11:39:45+00:00
1,freifahren_BE,1743975315,Mehrere männlich gelesene Personen auf den Linien M85/M48 in der nähe des Innsbrucker Platz unterwegs,2023-09-05 11:44:30+00:00
1,freifahren_BE,970467885,U7 Haselhorst am Gleis! 2 Kontrolleure,2023-09-05 11:47:19+00:00
1,freifahren_BE,918293133,"U1/3 Kurfüstenszraße Richtung Krumme Lanke, 3 Männer im Dunkel blau",2023-09-05 11:48:38+00:00
1,freifahren_BE,271186707,3 Blauwesten u6 wedding eingestiegen Richtung  k.-schumacher-platz,2023-09-05 11:51:48+00:00
1,freifahren_BE,594697071,U9 Kontrolle Richtung Steglitz,2023-09-05 11:53:47+00:00
1,freifahren_BE,594697071,Hansaplatz ausgestiegen,2023-09-05 11:55:02+00:00
1,freifahren_BE,101966183,3 chubby long hair read women in blue vests waiting  u8 northbound at pankstrasse,2023-09-05 11:59:10+00:00
1,freifahren_BE,101966183,Platform end. Werden hinten einsteigen,2023-09-05 11:59:28+00:00
1,freifahren_BE,377685469,"u9 richting steglitz im zug 
gleich turmstraße",2023-09-05 12:01:48+00:00
1,freifahren_BE,1498709733,"U1, U3 Gorlitzer - 2 ppl",2023-09-05 12:41:56+00:00
1,freifahren_BE,1082217167,U6 leopoldplatz,2023-09-05 12:49:55+00:00
1,freifahren_BE,1082217167,U6 Friedrich str,2023-09-05 12:56:47+00:00
1,freifahren_BE,998610843,S Treptow,2023-09-05 12:57:26+00:00
1,freifahren_BE,225290514,"Ringbahn / Ostkreuz
pinkes, bauchfreies Top, Dreivierteljeans, blonder Pferdeschwanz",2023-09-05 12:57:28+00:00
