,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,station name,lines,area,LAT,LON,Location,color
53,53,53,53,53.0,Eberswalder Straße,U2,Prenzlauer Berg,52.5416666666667,13.4122222222222,U2,#da421d
54,54,54,54,54.0,Eichborndamm,S25,Reinickendorf,52.5775,13.3169444444444,S25,#007831
55,55,55,55,55.0,Eichwalde,"S46, S8",Eichwalde,52.3713888888889,13.6152777777778,S Bahn Hub,#008080
56,56,56,56,56.0,Eisenacher Straße,U7,Schöneberg,52.4894444444444,13.3502777777778,U7,#538eba
57,57,57,57,57.0,Elsterwerdaer Platz,U5,Biesdorf,52.505,13.5605555555556,U5,#7e5330
58,58,58,58,58.0,Erkner,S3,Erkner,52.4297222222222,13.7513888888889,S3,#0066af
59,59,59,59,59.0,Ernst-Reuter-Platz,U2,Charlottenburg,52.5119444444444,13.3222222222222,U2,#da421d
60,60,60,60,60.0,Fehrbelliner Platz,"U3, U7",Wilmersdorf,52.4902777777778,13.3141666666667,U Bahn Hub,#006400
61,61,61,61,61.0,Feuerbachstraße,S1,Steglitz,52.4636111111111,13.3325,S1,#bc6194
62,62,62,62,62.0,Flughafen BER – Terminal 1-2,"S45, S9",Schönefeld,52.3666666666667,13.5033333333333,S Bahn Hub,#008080
63,63,63,63,63.0,Flughafen BER – Terminal 5,"S45, S9",Schönefeld,52.3913888888889,13.5127777777778,S Bahn Hub,#008080
64,64,64,64,64.0,Frankfurter Allee,"U5, S41, S42, S8, S85",Friedrichshain,52.515,13.4744444444444,U and S Bahn Hub,#FFC300
65,65,65,65,65.0,Frankfurter Tor,U5,Friedrichshain,52.5158333333333,13.4541666666667,U5,#7e5330
66,66,66,66,66.0,Franz-Neumann-Platz,U8,Reinickendorf,52.5638888888889,13.3641666666667,U8,#224f86
67,67,67,67,67.0,Französische Straße,U6,Mitte,52.5147222222222,13.3891666666667,U6,#8b6cab
68,68,68,68,68.0,Fredersdorf,S5,Fredersdorf-Vogelsdorf,52.5263888888889,13.7625,S5,#ec7501
69,69,69,69,69.0,Freie Universität,U3,Dahlem,52.4511111111111,13.2819444444444,U3,#17673d
70,70,70,70,70.0,Friedenau,S1,Schöneberg,52.47,13.3405555555556,S1,#bc6194
71,71,71,71,71.0,Friedrich-Wilhelm-Platz,U9,Friedenau,52.4719444444444,13.3286111111111,U9,#f3791e
72,72,72,72,72.0,Friedrichsfelde,U5,Friedrichsfelde,52.5061111111111,13.5127777777778,U5,#7e5330
73,73,73,73,73.0,Friedrichsfelde Ost,"S5, S7, S75",Berlin-Marzahn,52.5141666666667,13.5197222222222,S Bahn Hub,#008080
74,74,74,74,74.0,Friedrichshagen,S3,Friedrichshagen,52.4575,13.6233333333333,S3,#0066af
75,75,75,75,75.0,Friedrichstraße,"U6, S1, S2, S25, S26, S3, S5, S7, S9",Mitte,52.5202777777778,13.3869444444444,U and S Bahn Hub,#FFC300
76,76,76,76,76.0,Frohnau,S1,Frohnau,52.6325,13.2902777777778,S1,#bc6194
77,77,77,77,77.0,Gehrenseestraße,S75,Neu-Hohenschönhausen,52.5566666666667,13.5244444444444,S75,#826da8
78,78,78,78,78.0,Gesundbrunnen,"U8, S1, S2, S25, S26, S41, S42",Gesundbrunnen,52.5486111111111,13.38125,U and S Bahn Hub,#FFC300
79,79,79,79,79.0,Gleisdreieck,"U1, U2",Kreuzberg,52.4983333333333,13.3752777777778,U Bahn Hub,#006400
80,80,80,80,80.0,Gneisenaustraße,U7,Kreuzberg,52.4913888888889,13.3961111111111,U7,#538eba
81,81,81,81,81.0,Greifswalder Straße,"S41, S42, S8, S85",PrenzlauerBerg,52.54,13.4405555555556,S Bahn Hub,#008080
82,82,82,82,82.0,Grenzallee,U7,Britz,52.4633333333333,13.4438888888889,U7,#538eba
83,83,83,83,83.0,Griebnitzsee,S7,Babelsberg,52.3944444444444,13.1272222222222,S7,#826da8
84,84,84,84,84.0,Grunewald,S7,Grunewald,52.4891666666667,13.2613888888889,S7,#826da8
85,85,85,85,85.0,Grünau,"S46, S8, S85",Grünau,52.4125,13.5738888888889,S Bahn Hub,#008080
86,86,86,86,86.0,Grünbergallee,"S45, S9",Altglienicke,52.3991666666667,13.5416666666667,S Bahn Hub,#008080
87,87,87,87,87.0,Görlitzer Bahnhof,U1,Kreuzberg,52.4991666666667,13.4280555555556,U1,#7cad4c
88,88,88,88,88.0,Güntzelstraße,U9,Wilmersdorf,52.4919444444444,13.3308333333333,U9,#f3791e
89,89,89,89,89.0,Hackescher Markt,"S3, S5, S7, S9",Mitte,52.5225,13.4022222222222,S Bahn Hub,#008080
90,90,90,90,90.0,Halemweg,U7,Charlottenburg-Nord,52.5366666666667,13.2863888888889,U7,#538eba
91,91,91,91,91.0,Halensee,"S41, S42, S46",Halensee,52.4961111111111,13.2905555555556,S Bahn Hub,#008080
92,92,92,92,92.0,Hallesches Tor,"U1, U6",Kreuzberg,52.4977777777778,13.3911111111111,U Bahn Hub,#006400
93,93,93,93,93.0,Hansaplatz,U9,Hansaviertel,52.5177777777778,13.3422222222222,U9,#f3791e
94,94,94,94,94.0,Haselhorst,U7,Haselhorst,52.5388888888889,13.2327777777778,U7,#538eba
95,95,95,95,95.0,Hauptbahnhof,"U5, S3, S5, S7, S9",Moabit,52.525,13.3694444444444,U and S Bahn Hub,#FFC300
96,96,96,96,96.0,Hausvogteiplatz,U2,Mitte,52.5130555555556,13.3966666666667,U2,#da421d
97,97,97,97,97.0,Heerstraße,"S3, S9",Westend,52.5086111111111,13.2586111111111,S Bahn Hub,#008080
98,98,98,98,98.0,Hegermühle,S5,Strausberg,52.5488888888889,13.8666666666667,S5,#ec7501
99,99,99,99,99.0,Heidelberger Platz,"U3, S41, S42, S46",Wilmersdorf,52.48,13.3119444444444,U and S Bahn Hub,#FFC300
100,100,100,100,100.0,Heiligensee,S25,Heiligensee,52.6247222222222,13.2291666666667,S25,#007831
101,101,101,101,101.0,Heinrich-Heine-Straße,U8,Mitte,52.5102777777778,13.4158333333333,U8,#224f86
102,102,102,102,102.0,Hellersdorf,U5,Hellersdorf,52.5366666666667,13.6063888888889,U5,#7e5330
103,103,103,103,103.0,Hennigsdorf,S25,Hennigsdorf,52.6380555555556,13.2058333333333,S25,#007831
104,104,104,104,104.0,Hermannplatz,"U7, U8",Neukölln,52.4872222222222,13.4247222222222,U Bahn Hub,#006400
105,105,105,105,105.0,Hermannstraße,"U8, S41, S42, S45, S46, S47",Neukölln,52.4675,13.43125,U and S Bahn Hub,#FFC300
106,106,106,106,106.0,Hermsdorf,S1,Hermsdorf,52.6177777777778,13.3069444444444,S1,#bc6194
107,107,107,107,107.0,Hirschgarten,S3,Friedrichshagen,52.4577777777778,13.6033333333333,S3,#0066af
108,108,108,108,108.0,Hohen Neuendorf,"S1, S8",HohenNeuendorf,52.6683333333333,13.2869444444444,S Bahn Hub,#008080
109,109,109,109,109.0,Hohenschönhausen,S75,Neu-Hohenschönhausen,52.5663888888889,13.5122222222222,S75,#826da8
110,110,110,110,110.0,Hohenzollerndamm,"S41, S42, S46",Halensee,52.4886111111111,13.3002777777778,S Bahn Hub,#008080
111,111,111,111,111.0,Hohenzollernplatz,U3,Wilmersdorf,52.4941666666667,13.3247222222222,U3,#17673d
112,112,112,112,112.0,Holzhauser Straße,U6,Tegel,52.5758333333333,13.2961111111111,U6,#8b6cab
113,113,113,113,113.0,Hoppegarten,S5,Dahlwitz-Hoppegarten,52.5183333333333,13.6733333333333,S5,#ec7501
114,114,114,114,114.0,Humboldthain,"S1, S2, S25, S26",Gesundbrunnen,52.545,13.3794444444444,S Bahn Hub,#008080
115,115,115,115,115.0,Hönow,U5,Hellersdorf,52.5383333333333,13.6338888888889,U5,#7e5330
116,116,116,116,116.0,Innsbrucker Platz,"U4, S41, S42, S46",Schöneberg,52.4786111111111,13.3438888888889,U and S Bahn Hub,#FFC300
117,117,117,117,117.0,Jakob-Kaiser-Platz,U7,Charlottenburg-Nord,52.5366666666667,13.2933333333333,U7,#538eba
118,118,118,118,118.0,Jannowitzbrücke,"U8, S3, S5, S7, S9",Mitte,52.515,13.4180555555556,U and S Bahn Hub,#FFC300
119,119,119,119,119.0,Johannisthal,"S45, S46, S8, S85, S9",Niederschöneweide,52.4466666666667,13.5238888888889,S Bahn Hub,#008080
120,120,120,120,120.0,Johannisthaler Chaussee,U7,Gropiusstadt,52.4294444444444,13.4530555555556,U7,#538eba
121,121,121,121,121.0,Julius-Leber-Brücke,S1,Schöneberg,52.486268888889,13.360211944444,S1,#bc6194
122,122,122,122,122.0,Jungfernheide,"U7, U7, S41, S42",Charlottenburg,52.5305555555556,13.3001388888889,U and S Bahn Hub,#FFC300
123,123,123,123,123.0,Kaiserdamm,U2,Westend,52.51,13.2822222222222,U2,#da421d
124,124,124,124,124.0,Kaiserin-Augusta-Straße,U6,Tempelhof,52.46,13.3847222222222,U6,#8b6cab
125,125,125,125,125.0,Karl-Bonhoeffer-Nervenklinik,"U8, S25",Wittenau,52.5783333333333,13.3313888888889,U and S Bahn Hub,#FFC300
126,126,126,126,126.0,Karl-Marx-Straße,U7,Neukölln,52.4761111111111,13.4391666666667,U7,#538eba
127,127,127,127,127.0,Karlshorst,S3,Karlshorst,52.4808333333333,13.5258333333333,S3,#0066af
128,128,128,128,128.0,Karow,S2,Karow,52.615,13.4691666666667,S2,#447236
129,129,129,129,129.0,Kaulsdorf,S5,Kaulsdorf,52.5122222222222,13.5902777777778,S5,#ec7501
130,130,130,130,130.0,Kaulsdorf-Nord,U5,Hellersdorf,52.5211111111111,13.5888888888889,U5,#7e5330
131,131,131,131,131.0,Kienberg,U5,Hellersdorf,52.5286111111111,13.5905555555556,U5,#7e5330
132,132,132,132,132.0,Kleistpark,U7,Schöneberg,52.4905555555556,13.3602777777778,U7,#538eba
133,133,133,133,133.0,Klosterstraße,U2,Mitte,52.5161111111111,13.4122222222222,U2,#da421d
134,134,134,134,134.0,Kochstraße,U6,Kreuzberg,52.5058333333333,13.3905555555556,U6,#8b6cab
135,135,135,135,135.0,Konstanzer Straße,U7,Wilmersdorf,52.4936111111111,13.31,U7,#538eba
136,136,136,136,136.0,Kottbusser Tor,"U1, U8",Kreuzberg,52.4991666666667,13.4180555555556,U Bahn Hub,#006400
137,137,137,137,137.0,Krumme Lanke,U3,Zehlendorf,52.4433333333333,13.2413888888889,U3,#17673d
138,138,138,138,138.0,Kurfürstendamm,"U1, U9",Charlottenburg,52.5041666666667,13.3330555555556,U Bahn Hub,#006400
139,139,139,139,139.0,Kurfürstenstraße,U1,Tiergarten,52.5,13.3619444444444,U1,#7cad4c
140,140,140,140,140.0,Kurt-Schumacher-Platz,U6,Reinickendorf,52.5633333333333,13.3275,U6,#8b6cab
141,141,141,141,141.0,Köllnische Heide,"S45, S46, S47",Neukölln,52.4694444444445,13.4675,S Bahn Hub,#008080
142,142,142,142,142.0,Königs Wusterhausen,S46,KönigsWusterhausen,52.2966666666667,13.6311111111111,S46,#ce9d52
143,143,143,143,143.0,Köpenick,S3,Köpenick,52.4586111111111,13.5808333333333,S3,#0066af
144,144,144,144,144.0,Landsberger Allee,"S41, S42, S8, S85",PrenzlauerBerg,52.5294444444445,13.4547222222222,S Bahn Hub,#008080
145,145,145,145,145.0,Lankwitz,S25,Lankwitz,52.438611111111,13.341666666667,S25,#007831
146,146,146,146,146.0,Lehnitz,S1,Lehnitz,52.7411111111111,13.2636111111111,S1,#bc6194
147,147,147,147,147.0,Leinestraße,U8,Neukölln,52.4736111111111,13.4280555555556,U8,#224f86
148,148,148,148,148.0,Leopoldplatz,"U6, U9",Wedding,52.5463888888889,13.3591666666667,U Bahn Hub,#006400
149,149,149,149,149.0,Lichtenberg,"U5, S5, S7, S75",Lichtenberg,52.5105555555556,13.4963888888889,U and S Bahn Hub,#FFC300
150,150,150,150,150.0,Lichtenrade,S2,Lichtenrade,52.387146,13.396526,S2,#447236
151,151,151,151,151.0,Lichterfelde Ost,"S25, S26",Lichterfelde,52.43,13.328888888889,S Bahn Hub,#008080
152,152,152,152,152.0,Lichterfelde Süd,"S25, S26",Lichterfelde,52.41,13.308611111111,S Bahn Hub,#008080
153,153,153,153,153.0,Lichterfelde West,S1,Lichterfelde,52.4433333333333,13.2947222222222,S1,#bc6194
154,154,154,154,154.0,Lindauer Allee,U8,Reinickendorf,52.5752777777778,13.3391666666667,U8,#224f86
155,155,155,155,155.0,Lipschitzallee,U7,Gropiusstadt,52.4247222222222,13.4627777777778,U7,#538eba
156,156,156,156,156.0,Louis-Lewin-Straße,U5,Hellersdorf,52.5388888888889,13.6183333333333,U5,#7e5330
157,157,157,157,157.0,Magdalenenstraße,U5,Lichtenberg,52.5125,13.4863888888889,U5,#7e5330
158,158,158,158,158.0,Mahlow,S2,Blankenfelde-Mahl,52.360230555556,13.408480555556,S2,#447236
159,159,159,159,159.0,Mahlsdorf,S5,Mahlsdorf,52.5119444444444,13.61,S5,#ec7501
160,160,160,160,160.0,Marienfelde,S2,Marienfelde,52.424166666667,13.374722222222,S2,#447236
161,161,161,161,161.0,Marzahn,S7,Marzahn,52.5436111111111,13.5411111111111,S7,#826da8
162,162,162,162,162.0,Mehringdamm,U6,Kreuzberg,52.4944444444445,13.3886111111111,U6,#8b6cab
163,163,163,163,163.0,Mehrower Allee,S7,Marzahn,52.5575,13.5536111111111,S7,#826da8
164,164,164,164,164.0,Mendelssohn-Bartholdy-Park,U2,Kreuzberg,52.5038888888889,13.375,U2,#da421d
165,165,165,165,165.0,Messe Nord/ICC,"S41, S42, S46",Charlottenburg,52.5077777777778,13.2816666666667,S Bahn Hub,#008080
166,166,166,166,166.0,Messe Süd,"S3, S9",Westend,52.4986111111111,13.2702777777778,S Bahn Hub,#008080
167,167,167,167,167.0,Mexikoplatz,S1,Zehlendorf,52.4375,13.2325,S1,#bc6194
168,168,168,168,168.0,Mierendorffplatz,U7,Charlottenburg,52.5266666666667,13.305,U7,#538eba
169,169,169,169,169.0,Mohrenstraße,U2,Mitte,52.5116666666667,13.3847222222222,U2,#da421d
170,170,170,170,170.0,Moritzplatz,U8,Kreuzberg,52.5036111111111,13.4108333333333,U8,#224f86
171,171,171,171,171.0,Museumsinsel,U5,Mitte,52.5175,13.3983333333333,U5,#7e5330
172,172,172,172,172.0,Märkisches Museum,U2,Mitte,52.5119444444444,13.4088888888889,U2,#da421d
173,173,173,173,173.0,Möckernbrücke,"U1, U7",Kreuzberg,52.4991666666667,13.3830555555556,U Bahn Hub,#006400
174,174,174,174,174.0,Mühlenbeck-Mönchmühle,S8,MühlenbeckerLand,52.6547222222222,13.3866666666667,S8,#66ac1c
175,175,175,175,175.0,Naturkundemuseum,U6,Mitte,52.5311111111111,13.3825,U6,#8b6cab
176,176,176,176,176.0,Nauener Platz,U9,Wedding,52.5516666666667,13.3675,U9,#f3791e
177,177,177,177,177.0,Neu-Westend,U2,Westend,52.5155555555556,13.2611111111111,U2,#da421d
178,178,178,178,178.0,Neuenhagen,S5,NeuenhagenbeiBerlin,52.5208333333333,13.7002777777778,S5,#ec7501
179,179,179,179,179.0,Neukölln,"U7, S41, S42, S45, S46, S47",Neukölln,52.4694444444445,13.4422222222222,U and S Bahn Hub,#FFC300
180,180,180,180,180.0,Nikolassee,"S1, S7",Nikolassee,52.4316666666667,13.1933333333333,S Bahn Hub,#008080
181,181,181,181,181.0,Nollendorfplatz,"U1, U1, U2",Schöneberg,52.4994444444444,13.3536111111111,U Bahn Hub,#006400
182,182,182,182,182.0,Nordbahnhof,"S1, S2, S25, S26",Mitte,52.5319444444444,13.3877777777778,S Bahn Hub,#008080
183,183,183,183,183.0,Nöldnerplatz,"S5, S7, S75",Rummelsburg,52.5038888888889,13.4852777777778,S Bahn Hub,#008080
184,184,184,184,184.0,Nürnberger Platz,U3,Wilmersdorf,52.4983333333333,13.3341666666667,U3,#17673d
185,185,185,185,185.0,Oberspree,S47,Niederschöneweide,52.4525,13.5383333333333,S47,#ce9d52
186,186,186,186,186.0,Olympia-Stadion,U2,Westend,52.5172222222222,13.25,U2,#da421d
187,187,187,187,187.0,Olympiastadion,"S3, S9",Westend,52.5116666666667,13.2425,S Bahn Hub,#008080
188,188,188,188,188.0,Onkel Toms Hütte,U3,Zehlendorf,52.4502777777778,13.2533333333333,U3,#17673d
189,189,189,189,189.0,Oranienburg,S1,Oranienburg,52.7536111111111,13.2497222222222,S1,#bc6194
190,190,190,190,190.0,Oranienburger Straße,"S1, S2, S25, S26",Mitte,52.525046,13.392924,S Bahn Hub,#008080
191,191,191,191,191.0,Oranienburger Tor,U6,Mitte,52.525,13.3875,U6,#8b6cab
192,192,192,192,192.0,Osdorfer Straße,S25,Lichterfelde,52.41925,13.314555555556,S25,#007831
193,193,193,193,193.0,Oskar-Helene-Heim,U3,Dahlem,52.4502777777778,13.2697222222222,U3,#17673d
194,194,194,194,194.0,Osloer Straße,"U8, U9",Gesundbrunnen,52.5569444444444,13.3733333333333,U Bahn Hub,#006400
195,195,195,195,195.0,Ostbahnhof,"S3, S5, S7, S75, S9",Friedrichshain,52.51,13.4347222222222,S Bahn Hub,#008080
196,196,196,196,196.0,Osthafen,U1,Friedrichshain,52.5022222222222,13.4463888888889,U1,#7cad4c
197,197,197,197,197.0,Ostkreuz,"S3, S41, S42, S5, S7, S75, S8, S85",Friedrichshain,52.5030555555556,13.4688888888889,S Bahn Hub,#008080
198,198,198,198,198.0,Otisstraße,U6,Reinickendorf,52.5711111111111,13.3027777777778,U6,#8b6cab
199,199,199,199,199.0,Pankow,"U2, S2, S8, S85",Pankow,52.5666666666667,13.4111111111111,U and S Bahn Hub,#FFC300
200,200,200,200,200.0,Pankow-Heinersdorf,"S2, S8",Pankow,52.5783333333333,13.4297222222222,S Bahn Hub,#008080
201,201,201,201,201.0,Pankstraße,U8,Gesundbrunnen,52.5522222222222,13.3813888888889,U8,#224f86
202,202,202,202,202.0,Paracelsus-Bad,U8,Reinickendorf,52.5741666666667,13.3491666666667,U8,#224f86
203,203,203,203,203.0,Paradestraße,U6,Tempelhof,52.4780555555556,13.3861111111111,U6,#8b6cab
204,204,204,204,204.0,Parchimer Allee,U7,Britz,52.4447222222222,13.4497222222222,U7,#538eba
205,205,205,205,205.0,Paulsternstraße,U7,Haselhorst,52.5380555555556,13.2477777777778,U7,#538eba
206,206,206,206,206.0,Petershagen Nord,S5,PetershagenEggersdorf,52.5291666666667,13.7911111111111,S5,#ec7501
207,207,207,207,207.0,Pichelsberg,"S3, S9",Westend,52.5102777777778,13.2272222222222,S Bahn Hub,#008080
208,208,208,208,208.0,Platz der Luftbrücke,U6,Kreuzberg,52.4855555555556,13.3858333333333,U6,#8b6cab
209,209,209,209,209.0,Plänterwald,"S8, S85, S9",Plänterwald,52.4786111111111,13.4733333333333,S Bahn Hub,#008080
210,210,210,210,210.0,Podbielskiallee,U3,Dahlem,52.4641666666667,13.2958333333333,U3,#17673d
211,211,211,211,211.0,Poelchaustraße,S7,Marzahn,52.5355555555556,13.5355555555556,S7,#826da8
212,212,212,212,212.0,Potsdam Hauptbahnhof,S7,Potsdam,52.3916666666667,13.0666666666667,S7,#826da8
213,213,213,213,213.0,Potsdamer Platz,"U2, S1, S2, S25, S26",Mitte,52.5094444444445,13.3758333333333,U and S Bahn Hub,#FFC300
214,214,214,214,214.0,Prenzlauer Allee,"S41, S42, S8, S85",PrenzlauerBerg,52.5447222222222,13.4261111111111,S Bahn Hub,#008080
215,215,215,215,215.0,Priesterweg,"S2, S25, S26",Schöneberg,52.4601,13.3563,S Bahn Hub,#008080
216,216,216,216,216.0,Prinzenstraße,U1,Kreuzberg,52.4983333333333,13.4058333333333,U1,#7cad4c
217,217,217,217,217.0,Rahnsdorf,S3,Rahnsdorf,52.4516666666667,13.6897222222222,S3,#0066af
218,218,218,218,218.0,Raoul-Wallenberg-Straße,S7,Marzahn,52.5508333333333,13.5475,S7,#826da8
219,219,219,219,219.0,Rathaus Neukölln,U7,Neukölln,52.4819444444445,13.4330555555556,U7,#538eba
220,220,220,220,220.0,Rathaus Reinickendorf,U8,Wittenau,52.5883333333333,13.3258333333333,U8,#224f86
221,221,221,221,221.0,Rathaus Schöneberg,U4,Schöneberg,52.4830555555556,13.3419444444444,U4,#f0d721
222,222,222,222,222.0,Rathaus Spandau,U7,Spandau,52.5352777777778,13.1997222222222,U7,#538eba
223,223,223,223,223.0,Rathaus Steglitz,"U9, S1",Steglitz,52.4561111111111,13.3208333333333,U and S Bahn Hub,#FFC300
224,224,224,224,224.0,Rehberge,U6,Wedding,52.5566666666667,13.3411111111111,U6,#8b6cab
225,225,225,225,225.0,Reinickendorfer Straße,U6,Wedding,52.54,13.3702777777778,U6,#8b6cab
226,226,226,226,226.0,Residenzstraße,U8,Reinickendorf,52.5711111111111,13.3605555555556,U8,#224f86
