,station name,lines,area,LAT,LON,Location,color,keys
0,Adenauerplatz,U7,Charlottenburg,52.4997222222222,13.3072222222222,U7,#33B5FF,adenauerplatz
1,Adlershof,"S45, S46, S8, S85, S9",Adlershof,52.4347222222222,13.5413888888889,S Bahn Hub,#008080,adlershof
2,Afrikanische Straße,U6,Wedding,52.5605555555556,13.3341666666667,U6,#DA33FF,afrikanische str
3,Ahrensfelde,S7,Marzahn,52.5716666666667,13.565,S7,#800080,ahrensfelde
4,Alexanderplatz,"U2, U5, U8, S3, S5, S7, S9",Mitte,52.5213888888889,13.4126388888889,U and S Bahn Hub,#FFC300,alex
5,Alt-Mariendorf,U6,Mariendorf,52.4397222222222,13.3875,U6,#DA33FF,alt mariendorf
6,Alt-Reinickendorf,S25,Reinickendorf,52.5777777777778,13.3505555555556,S25,#00FF00,alt reinickendorf
7,Alt-Tegel,U6,Tegel,52.5894444444444,13.2836111111111,U6,#DA33FF,alt tegel
8,Alt-Tempelhof,U6,Tempelhof,52.4661111111111,13.3855555555556,U6,#DA33FF,alt tempelhof
9,Altglienicke,"S45, S9",Altglienicke,52.4072222222222,13.5588888888889,S Bahn Hub,#008080,altglienicke
10,Altstadt Spandau,U7,Spandau,52.5391666666667,13.2055555555556,U7,#33B5FF,altstadt spandau
11,Amrumer Straße,U9,Wedding,52.5422222222222,13.3488888888889,U9,#FF5733,amrumer str
12,Anhalter Bahnhof,"S1, S2, S25, S26",Kreuzberg,52.5030555555556,13.3819444444444,S Bahn Hub,#008080,anhalter bahnhof
13,Attilastraße,S2,Tempelhof,52.4477777777778,13.3608333333333,S2,#00CC00,attilastr
14,Augsburger Straße,U3,Charlottenburg,52.5005555555556,13.3363888888889,U3,#33FF33,augsburger str
15,Babelsberg,S7,Babelsberg,52.3913888888889,13.0922222222222,S7,#800080,babelsberg
16,Baumschulenweg,"S45, S46, S47, S8, S85, S9",Baumschulenweg,52.4675,13.4897222222222,S Bahn Hub,#008080,baumschulenweg
17,Bayerischer Platz,"U4, U7",Schöneberg,52.4886111111111,13.34,U Bahn Hub,#006400,bayerischer platz
18,Bellevue,"S3, S5, S7, S9",Hansaviertel,52.52,13.3477777777778,S Bahn Hub,#008080,bellevue
19,Bergfelde,S8,Bergfelde,52.6702777777778,13.3202777777778,S8,#6B4423,bergfelde
20,Berliner Straße,"U7, U9",Wilmersdorf,52.4872222222222,13.3308333333333,U Bahn Hub,#006400,berliner str
21,Bernau,S2,BernaubeiBerlin,52.6761111111111,13.5930555555556,S2,#00CC00,bernau
